link,full_name,price,year,mileage_km,fuel_type,location
https://www.autovit.ro/autoturisme/anunt/opel-astra-1-6-d-cdti-sports-tourer-business-ID7Hqchm.html,Opel Astra 1.6 D (CDTI) Sports Tourer Business,7 449,2016,200 792 km,Diesel,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/toyota-iq-1-0-vvt-i-ID7HtWtQ.html,Toyota iQ 1.0 VVT-i,3 990,2009,153 027 km,Benzina,Uricani (Iasi)
https://www.autovit.ro/autoturisme/anunt/audi-a5-ID7Huq7H.html,Audi A5,11 500,2012,217 000 km,Benzina,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-ID7Huq7m.html,Volkswagen Golf,10 500,2016,196 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/opel-astra-1-0-turbo-start-stop-sports-tourer-active-ID7Hqchc.html,Opel Astra 1.0 Turbo Start/Stop Sports Tourer Active,8 950,2019,135 009 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/ford-focus-2-0-ecoblue-titanium-ID7Hu6qM.html,Ford Focus 2.0 EcoBlue Titanium,15 490,2020,89 300 km,Diesel,Tunari (Ilfov)
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-gla-220-d-4matic-7g-dct-activity-edition-ID7Hus6E.html,Mercedes-Benz GLA 220 d 4Matic 7G-DCT Activity Edition,17 800,2016,95 487 km,Diesel,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/renault-megane-blue-dci-116-edc-zen-ID7HusfL.html,Renault Megane Blue dCi 116 EDC Zen,13 078,2019,146 532 km,Diesel,Galati (Galati)
https://www.autovit.ro/autoturisme/anunt/volkswagen-touran-ID7HutFo.html,Volkswagen Touran,10 500,2016,219 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-2-0-tdi-gtd-ID7HtXFR.html,Volkswagen Golf 2.0 TDI GTD,11 999,2016,224 000 km,Diesel,Iasi (Iasi)
https://www.autovit.ro/autoturisme/anunt/opel-astra-sports-tourer-1-2-turbo-business-edition-ID7Hus8p.html,Opel Astra Sports Tourer 1.2 Turbo Business Edition,9 850,2020,176 390 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/kia-sportage-2-0-crdi-2wd-vision-ID7HtXNS.html,"Kia Sportage 2,0 CRDI 2WD Vision",13 990,2016,199 000 km,Diesel,Iasi (Iasi)
https://www.autovit.ro/autoturisme/anunt/hyundai-i30-1-6-crdi-dct-select-ID7HtF46.html,Hyundai I30 1.6 CRDI DCT Select,13 000,2021,169 354 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/bmw-seria-4-420d-gran-coupe-aut-ID7Hu06q.html,BMW Seria 4 420d Gran Coupe Aut.,13 800,2017,220 121 km,Diesel,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/ford-focus-ID7Hun61.html,Ford Focus,8 290,2015,147 000 km,Diesel,Moinesti (Bacau)
https://www.autovit.ro/autoturisme/anunt/opel-astra-1-7-cdti-dpf-active-ID7HtXUM.html,Opel Astra 1.7 CDTI DPF Active,5 750,2013,191 000 km,Diesel,Iasi (Iasi)
https://www.autovit.ro/autoturisme/anunt/renault-megane-energy-dci-130-bose-edition-ID7HtXvU.html,Renault Megane ENERGY dCi 130 BOSE EDITION,6 250,2013,199 000 km,Diesel,Iasi (Iasi)
https://www.autovit.ro/autoturisme/anunt/volkswagen-tiguan-ID7HuqdQ.html,Volkswagen Tiguan,6 499,2009,244 000 km,Benzina,Timisoara (Timis)
https://www.autovit.ro/autoturisme/anunt/audi-q3-2-0-tdi-quattro-stronic-ID7HtErW.html,Audi Q3 2.0 TDI Quattro Stronic,17 990,2014,79 276 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/mazda-3-ID7HtHhq.html,Mazda 3,10 499,2014,158 000 km,Benzina,Targu-Mures (Mures)
https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive25e-advantage-ID7HtESW.html,BMW X1 xDrive25e Advantage,19 499,2021,195 864 km,Hibrid Plug-In,Cluj-Napoca (Cluj)
